# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.367845811488e-10       4.159909739610e-15       3.530339841497e-13       0.000000000000e+00       8.223414250886e-09       4.443501021232e-10      -1.841287180818e-12 
    3       1.295976386846e-10       5.346996270447e-15       3.964553689313e-13       0.000000000000e+00       5.057848716868e-09       3.152514640570e-10      -1.396808959939e-12 
    4       1.227580995696e-10       4.640615161162e-15       3.707759138209e-13       0.000000000000e+00       3.514783320713e-09       2.387319920970e-10      -9.170778773709e-13 
    5       1.176308465345e-10       3.106584848023e-15       3.158443467843e-13       0.000000000000e+00       2.623083483214e-09       1.885475145038e-10      -5.124129181705e-13 
    6       1.141214520330e-10       1.741246430519e-15       2.544252912513e-13       0.000000000000e+00       2.049014907730e-09       1.533732613542e-10      -2.134350077194e-13 
    7       1.118429275224e-10       9.395587795075e-16       1.997536223682e-13       0.000000000000e+00       1.653304645847e-09       1.275567794451e-10      -2.191427570011e-14 
    8       1.105273882948e-10       6.028676591065e-16       1.576466211321e-13       0.000000000000e+00       1.366746150499e-09       1.079836995053e-10       7.665393288351e-14 
    9       1.099346729219e-10       4.823983407859e-16       1.293948544517e-13       0.000000000000e+00       1.151165118134e-09       9.280640382280e-11       1.051779689065e-13 
   10       1.098335220281e-10       4.113556143834e-16       1.137161841217e-13       0.000000000000e+00       9.840754887133e-10       8.078952780069e-11       8.919337070256e-14 
   11       1.101732925226e-10       3.459111989136e-16       1.079597027300e-13       0.000000000000e+00       8.273503799804e-10       7.139557146787e-11       5.264072238926e-14 
