# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.367850527074e-10       4.160150315147e-15       3.530339801776e-13       2.405754940622e-19       8.223414250886e-09       4.443501021232e-10      -1.841287180818e-12 
    3       1.295985795097e-10       5.347477515822e-15       3.964553512271e-13       4.812449537567e-19       5.057848716868e-09       3.152514640570e-10      -1.396808959939e-12 
    4       1.227596625805e-10       4.641417445082e-15       3.707758629420e-13       8.022818517074e-19       3.514783320713e-09       2.387319920970e-10      -9.170778773709e-13 
    5       1.176331817666e-10       3.107788661385e-15       3.158442308542e-13       1.203806287238e-18       2.623083483214e-09       1.885475145038e-10      -5.124129181705e-13 
    6       1.141247060603e-10       1.742932413836e-15       2.544250632422e-13       1.685964046001e-18       2.049014907730e-09       1.533732613542e-10      -2.134350077194e-13 
    7       1.118472429674e-10       9.418077481760e-16       1.997532176196e-13       2.248923902290e-18       1.653304645847e-09       1.275567794451e-10      -2.191427570011e-14 
    8       1.105329034374e-10       6.057606260475e-16       1.576459551409e-13       2.892874567436e-18       1.366746150499e-09       1.079836995053e-10       7.665393288351e-14 
    9       1.099415214131e-10       4.860165359449e-16       1.293938209538e-13       3.618021374426e-18       1.151165118134e-09       9.280640382280e-11       1.051779689065e-13 
   10       1.098418327129e-10       4.157805005965e-16       1.137146534825e-13       4.424582795268e-18       9.840754887133e-10       8.078952780069e-11       8.919337070256e-14 
   11       1.101831893705e-10       3.512244836406e-16       1.079575206475e-13       5.312786890643e-18       8.273503799804e-10       7.139557146787e-11       5.264072238926e-14 
   12       1.108114335667e-10       3.072408805211e-16       1.090768065825e-13       6.282867790921e-18       7.227809240370e-10       6.311199734755e-11       1.309239646501e-14 
   13       1.116783924885e-10       2.953111675520e-16       1.143781940345e-13       7.335062303754e-18       6.369529474778e-10       5.639597318641e-11      -1.734656943811e-14 
   14       1.127441996265e-10       3.079767733115e-16       1.218004466236e-13       8.469606736395e-18       5.655577897305e-10       5.056088670992e-11      -3.424488022726e-14 
   15       1.139905717605e-10       3.334212113482e-16       1.300498134923e-13       9.686734010818e-18       5.054720213706e-10       4.565179855181e-11      -3.764096553721e-14 
   16       1.153399314930e-10       3.687823183684e-16       1.384446389469e-13       1.098667113720e-17       4.543925945932e-10       4.141738801469e-11      -3.133504757645e-14 
   17       1.168261288502e-10       4.194848240911e-16       1.467812855936e-13       1.236963709663e-17       4.105826349653e-10       3.771978921100e-11      -2.044773517291e-14 
   18       1.183845162366e-10       4.911012575954e-16       1.553008294155e-13       1.383584099023e-17       3.725629919491e-10       3.450335641537e-11      -9.869046709839e-15 
   19       1.200265834878e-10       5.840744589573e-16       1.642063415487e-13       1.538548171623e-17       3.397310507937e-10       3.171807490905e-11      -2.266634318391e-15 
   20       1.217467507995e-10       6.964947085916e-16       1.736288843381e-13       1.701874524845e-17       3.108179234903e-10       2.924128453879e-11       5.485979460497e-16 
   21       1.235449526027e-10       8.277052366583e-16       1.835527783323e-13       1.873580708986e-17       2.853685548187e-10       2.702772373495e-11      -9.316712950963e-16 
