# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049743788834e-05       4.730151560083e+01 
       2.344149064293e-05       1.027844290780e+02 
       3.643149987812e-05       1.573657145150e+02 
       4.950276037637e-05       2.116072795924e+02 
       6.269115629253e-05       2.658337072677e+02 
       7.603348425312e-05       3.202912193945e+02 
       8.956778688270e-05       3.751923531352e+02 
       1.033337012333e-04       4.307342968346e+02 
       1.173728266271e-04       4.871084126316e+02 
       1.317291164562e-04       5.445059497647e+02 
       1.464492984877e-04       6.031222018078e+02 
       1.615833281566e-04       6.631596225171e+02 
       1.771848791361e-04       7.248307046646e+02 
       1.933118750769e-04       7.883603567535e+02 
       2.100270657073e-04       8.539886053956e+02 
       2.273986493315e-04       9.219728475232e+02 
       2.455009419910e-04       9.925904076114e+02 
       2.644150909171e-04       1.066141017227e+03 
       2.842298261201e-04       1.142949415536e+03 
       3.050422386732e-04       1.223367496336e+03 
       3.269585670748e-04       1.307777219916e+03 
       3.500949635595e-04       1.396592139566e+03 
       3.745782000206e-04       1.490259522839e+03 
       4.005462580257e-04       1.589261185484e+03 
       4.281487293376e-04       1.694113792918e+03 
       4.575469330173e-04       1.805367648054e+03 
       4.889136341071e-04       1.923603875875e+03 
       5.224322299309e-04       2.049429317329e+03 
       5.582952576952e-04       2.183468888885e+03 
       5.967020777112e-04       2.326354592230e+03 
       6.378556080602e-04       2.478711004557e+03 
       6.819580371670e-04       2.641137319099e+03 
       7.292055268148e-04       2.814185871497e+03 
       7.797820405064e-04       2.998337954712e+03 
       8.338525821608e-04       3.193978454268e+03 
       8.915562869982e-04       3.401370810817e+03 
       9.529999372597e-04       3.620634940730e+03 
       1.018252541253e-03       3.851730008859e+03 
       1.087341581761e-03       4.094445250447e+03 
       1.160251395197e-03       4.348399071772e+03 
       1.236923901932e-03       4.613048161944e+03 
       1.317261616531e-03       4.887705266764e+03 
       1.401132587302e-03       5.171536962152e+03 
       1.488376707282e-03       5.463658581729e+03 
       1.578812740791e-03       5.763126491742e+03 
       1.672245425952e-03       6.068956433618e+03 
       1.768472120372e-03       6.380161661106e+03 
       1.867288615114e-03       6.695777033659e+03 
       1.968493910374e-03       7.014875452053e+03 
       2.071893894374e-03       7.336582306712e+03 
       2.177303977961e-03       7.660083789475e+03 
       2.284550807596e-03       7.984631568251e+03 
       2.393473213354e-03       8.309545949594e+03 
       2.503922555405e-03       8.634212880165e+03 
       2.615762621462e-03       8.958083016164e+03 
       2.728869207296e-03       9.280669103172e+03 
       2.843129488410e-03       9.601538516501e+03 
       2.958441267353e-03       9.920312873028e+03 
       3.074712159995e-03       1.023665907816e+04 
       3.191858766366e-03       1.055028809914e+04 
       3.309805857433e-03       1.086094806743e+04 
       3.428485598284e-03       1.116842299967e+04 
       3.547836820028e-03       1.147252447662e+04 
       3.667804346820e-03       1.177309467548e+04 
       3.788338380336e-03       1.206999675253e+04 
       3.909393941216e-03       1.236311711953e+04 
       4.030930365231e-03       1.265235896352e+04 
       4.152910850844e-03       1.293764533373e+04 
       4.275302054290e-03       1.321890931346e+04 
       4.398073728047e-03       1.349610374881e+04 
       4.521198398615e-03       1.376918428300e+04 
       4.644651079628e-03       1.403812399127e+04 
       4.768409016616e-03       1.430289855948e+04 
       4.892451459957e-03       1.456348737681e+04 
       5.016759462915e-03       1.481990449988e+04 
       5.141315701932e-03       1.507214235242e+04 
       5.266104316637e-03       1.532019720941e+04 
       5.391110767315e-03       1.556409117717e+04 
       5.516321707831e-03       1.580382397906e+04 
       5.641724872217e-03       1.603941650292e+04 
       5.767308973374e-03       1.627088616935e+04 
       5.893063612462e-03       1.649825502924e+04 
       6.018979197799e-03       1.672155128828e+04 
       6.145046872152e-03       1.694079895429e+04 
       6.271258447491e-03       1.715602779349e+04 
       6.397606346368e-03       1.736726722720e+04 
       6.524083549175e-03       1.757454618222e+04 
       6.650683546636e-03       1.777790079924e+04 
       6.777400296968e-03       1.797736513261e+04 
       6.904228187186e-03       1.817296965014e+04 
       7.031161998130e-03       1.836475623638e+04 
       7.158196872798e-03       1.855275634938e+04 
       7.285328287651e-03       1.873700320480e+04 
       7.412552026568e-03       1.891753674968e+04 
       7.539864157194e-03       1.909439179555e+04 
       7.667261009418e-03       1.926761201860e+04 
       7.794739155780e-03       1.943722093430e+04 
       7.922295393610e-03       1.960327371076e+04 
       8.049926728727e-03       1.976579622967e+04 
       8.177630360542e-03       1.992482421753e+04 
       8.305403668443e-03       2.008040133326e+04 
       8.433244199320e-03       2.023256635353e+04 
       8.561149656140e-03       2.038135471505e+04 
       8.689117887464e-03       2.052680052761e+04 
       8.817146877816e-03       2.066894544611e+04 
       8.945234738842e-03       2.080782211026e+04 
       9.073379701171e-03       2.094346872285e+04 
       9.201580106917e-03       2.107592367625e+04 
       9.329834402781e-03       2.120521651641e+04 
       9.458141133679e-03       2.133139246641e+04 
       9.586498936868e-03       2.145447987564e+04 
       9.714906536516e-03       2.157450574721e+04 
       9.843362738684e-03       2.169152358857e+04 
       9.971866426687e-03       2.180555313234e+04 
       1.010041655680e-02       2.191663338978e+04 
       1.022901215427e-02       2.202479843348e+04 
       1.035765230964e-02       2.213007536027e+04 
       1.048633617533e-02       2.223250366728e+04 
       1.061506296247e-02       2.233211627483e+04 
       1.074383193793e-02       2.242894468118e+04 
       1.087264242162e-02       2.252301952484e+04 
       1.100149378393e-02       2.261436765350e+04 
       1.113038544340e-02       2.270303457014e+04 
       1.125931686448e-02       2.278903468974e+04 
       1.138828755552e-02       2.287240853496e+04 
       1.151729706690e-02       2.295319460700e+04 
       1.164634498920e-02       2.303140284519e+04 
       1.177543095163e-02       2.310708334001e+04 
       1.190455462045e-02       2.318025319382e+04 
       1.203371569759e-02       2.325095269356e+04 
       1.216291391931e-02       2.331920155416e+04 
       1.229214905499e-02       2.338503396622e+04 
       1.242142090596e-02       2.344848383207e+04 
       1.255072930447e-02       2.350957684938e+04 
       1.268007411270e-02       2.356833850508e+04 
       1.280945522186e-02       2.362480778590e+04 
       1.293887255129e-02       2.367900348092e+04 
       1.306832604776e-02       2.373095722313e+04 
       1.319781568468e-02       2.378069714792e+04 
       1.332734146145e-02       2.382824929626e+04 
       1.345690340285e-02       2.387363790414e+04 
       1.358650155848e-02       2.391690139779e+04 
       1.371613600221e-02       2.395804615853e+04 
       1.384580683173e-02       2.399712071039e+04 
       1.397551416807e-02       2.403413275118e+04 
       1.410525815527e-02       2.406911433058e+04 
       1.423503895996e-02       2.410209532084e+04 
       1.436485677106e-02       2.413309960684e+04 
       1.449471179948e-02       2.416215500383e+04 
       1.462460427788e-02       2.418927741066e+04 
       1.475453446040e-02       2.421449777798e+04 
       1.488450262251e-02       2.423783958046e+04 
       1.501450906081e-02       2.425932437203e+04 
       1.514455409288e-02       2.427898694610e+04 
       1.527463805718e-02       2.429684464996e+04 
       1.540476131293e-02       2.431290957278e+04 
       1.553492424007e-02       2.432722248166e+04 
       1.566512723919e-02       2.433980473038e+04 
       1.579537073151e-02       2.435065757953e+04 
       1.592565515890e-02       2.435982700535e+04 
       1.605598098384e-02       2.436732195099e+04 
       1.618634868952e-02       2.437317649674e+04 
       1.631675877986e-02       2.437741010718e+04 
       1.644721177959e-02       2.438004206101e+04 
       1.657770823436e-02       2.438108940646e+04 
       1.670824871085e-02       2.438057271347e+04 
       1.683883379690e-02       2.437853652372e+04 
       1.696946410165e-02       2.437498452805e+04 
       1.710014025572e-02       2.436991293412e+04 
       1.723086291138e-02       2.436337886196e+04 
       1.736163274279e-02       2.435539039844e+04 
       1.749245044617e-02       2.434600092140e+04 
       1.762331674007e-02       2.433516856652e+04 
       1.775423236560e-02       2.432294210502e+04 
       1.788519808673e-02       2.430936494710e+04 
       1.801621469053e-02       2.429442289693e+04 
       1.814728298754e-02       2.427814534449e+04 
       1.827840381201e-02       2.426056806422e+04 
       1.840957802229e-02       2.424168836854e+04 
       1.854080650118e-02       2.422154258724e+04 
       1.867209015626e-02       2.420012971305e+04 
       1.880342992035e-02       2.417750258507e+04 
       1.893482675181e-02       2.415363903952e+04 
       1.906628163508e-02       2.412859738103e+04 
       1.919779558100e-02       2.410237055030e+04 
       1.932936962738e-02       2.407496491920e+04 
       1.946100483937e-02       2.404641759466e+04 
       1.959270231003e-02       2.401677510082e+04 
       1.972446316079e-02       2.398599846030e+04 
       1.985628854201e-02       2.395417728476e+04 
       1.998817963353e-02       2.392124738638e+04 
       2.012013764521e-02       2.388728342875e+04 
       2.025216381752e-02       2.385227924800e+04 
       2.038425942219e-02       2.381623904161e+04 
       2.051642576279e-02       2.377922734749e+04 
       2.064866417540e-02       2.374121393881e+04 
       2.078097602928e-02       2.370222565734e+04 
       2.091336272756e-02       2.366233987060e+04 
       2.104582570797e-02       2.362147321278e+04 
       2.117836644353e-02       2.357969226919e+04 
       2.131098644339e-02       2.353703765414e+04 
       2.144368725356e-02       2.349350156761e+04 
       2.157647045771e-02       2.344906333137e+04 
       2.170933767807e-02       2.340380134615e+04 
       2.184229057624e-02       2.335771610479e+04 
       2.197533085410e-02       2.331079603967e+04 
       2.210846025472e-02       2.326309113254e+04 
       2.224168056333e-02       2.321455502825e+04 
       2.237499360827e-02       2.316530655858e+04 
       2.250840126202e-02       2.311529341591e+04 
       2.264190544221e-02       2.306452243145e+04 
       2.277550811274e-02       2.301303641771e+04 
       2.290921128482e-02       2.296085582296e+04 
       2.304301701819e-02       2.290791023900e+04 
       2.317692742221e-02       2.285435461881e+04 
       2.331094465715e-02       2.280011747654e+04 
       2.344507093537e-02       2.274522467693e+04 
       2.357930852268e-02       2.268968345516e+04 
       2.371365973961e-02       2.263353218959e+04 
       2.384812696282e-02       2.257677959423e+04 
       2.398271262651e-02       2.251941252499e+04 
       2.411741922386e-02       2.246144120728e+04 
       2.425224930857e-02       2.240295676615e+04 
       2.438720549639e-02       2.234386665068e+04 
       2.452229046676e-02       2.228426575492e+04 
       2.465750696442e-02       2.222410718760e+04 
       2.479285780117e-02       2.216343688602e+04 
       2.492834585761e-02       2.210227007200e+04 
       2.506397408497e-02       2.204059915883e+04 
       2.519974550703e-02       2.197845709447e+04 
       2.533566322200e-02       2.191585317186e+04 
       2.547173040462e-02       2.185280584090e+04 
       2.560795030815e-02       2.178924869866e+04 
       2.574432626660e-02       2.172536910206e+04 
       2.588086169693e-02       2.166098105506e+04 
       2.601756010130e-02       2.159624248580e+04 
       2.615442506955e-02       2.153105203892e+04 
       2.629146028154e-02       2.146542783645e+04 
       2.642866950981e-02       2.139955876577e+04 
       2.656605662213e-02       2.133328275081e+04 
       2.670362558426e-02       2.126658635983e+04 
       2.684138046277e-02       2.119964320580e+04 
       2.697932542799e-02       2.113228686297e+04 
       2.711746475697e-02       2.106464647960e+04 
       2.725580283669e-02       2.099669477012e+04 
       2.739434416725e-02       2.092845351136e+04 
       2.753309336527e-02       2.085989172655e+04 
       2.767205516740e-02       2.079105989582e+04 
       2.781123443389e-02       2.072194539119e+04 
       2.795063615238e-02       2.065258141414e+04 
       2.809026544179e-02       2.058298769378e+04 
       2.823012755638e-02       2.051310927115e+04 
       2.837022788990e-02       2.044303719319e+04 
       2.851057198001e-02       2.037269011001e+04 
       2.865116551275e-02       2.030212855463e+04 
       2.879201432730e-02       2.023142051049e+04 
       2.893312442082e-02       2.016051030445e+04 
       2.907450195354e-02       2.008933779973e+04 
       2.921615325408e-02       2.001801357848e+04 
       2.935808482489e-02       1.994654018939e+04 
       2.950030334802e-02       1.987487879859e+04 
       2.964281569104e-02       1.980304429305e+04 
       2.978562891323e-02       1.973114839531e+04 
       2.992875027206e-02       1.965902710456e+04 
       3.007218722991e-02       1.958671726725e+04 
       3.021594746104e-02       1.951439514347e+04 
       3.036003885896e-02       1.944188848979e+04 
       3.050446954397e-02       1.936924631723e+04 
       3.064924787117e-02       1.929654268477e+04 
       3.079438243873e-02       1.922374201818e+04 
       3.093988209656e-02       1.915083592016e+04 
       3.108575595533e-02       1.907783929967e+04 
       3.123201339595e-02       1.900476813350e+04 
       3.137866407942e-02       1.893162018991e+04 
       3.152571795720e-02       1.885838858465e+04 
       3.167318528197e-02       1.878507533877e+04 
       3.182107661893e-02       1.871175429642e+04 
       3.196940285771e-02       1.863836218250e+04 
       3.211817522467e-02       1.856487111276e+04 
       3.226740529595e-02       1.849133733138e+04 
       3.241710501109e-02       1.841784142446e+04 
       3.256728668728e-02       1.834433538062e+04 
       3.271796303435e-02       1.827077044851e+04 
       3.286914717052e-02       1.819707528781e+04 
       3.302085263888e-02       1.812349663282e+04 
       3.317309342480e-02       1.804982811254e+04 
       3.332588397412e-02       1.797617434834e+04 
       3.347923921237e-02       1.790252288603e+04 
       3.363317456495e-02       1.782882180702e+04 
       3.378770597837e-02       1.775518618895e+04 
       3.394284994271e-02       1.768153192740e+04 
       3.409862351514e-02       1.760784289573e+04 
       3.425504434483e-02       1.753424123808e+04 
       3.441213069927e-02       1.746058671147e+04 
       3.456990149190e-02       1.738698946497e+04 
       3.472837631146e-02       1.731340590296e+04 
       3.488757545292e-02       1.723984161856e+04 
       3.504751995024e-02       1.716627882131e+04 
       3.520823161098e-02       1.709276898696e+04 
       3.536973305300e-02       1.701923754193e+04 
       3.553204774336e-02       1.694579108945e+04 
       3.569520003951e-02       1.687240914733e+04 
       3.585921523305e-02       1.679897331391e+04 
       3.602411959615e-02       1.672566388384e+04 
       3.618994043092e-02       1.665233438740e+04 
       3.635670612186e-02       1.657907716496e+04 
       3.652444619170e-02       1.650579694551e+04 
       3.669319136086e-02       1.643255870553e+04 
       3.686297361081e-02       1.635941843340e+04 
       3.703382625166e-02       1.628630465242e+04 
       3.720578399432e-02       1.621322444647e+04 
       3.737888302752e-02       1.614016688586e+04 
       3.755316110028e-02       1.606717051534e+04 
       3.772865761010e-02       1.599416436694e+04 
       3.790541369740e-02       1.592122801871e+04 
       3.808347234680e-02       1.584831343008e+04 
       3.826287849589e-02       1.577545942455e+04 
       3.844367915191e-02       1.570258107403e+04 
       3.862592351732e-02       1.562982786401e+04 
       3.880966312497e-02       1.555701903130e+04 
       3.899495198365e-02       1.548428265512e+04 
       3.918184673519e-02       1.541153353380e+04 
       3.937040682406e-02       1.533883819063e+04 
       3.956069468067e-02       1.526612637076e+04 
       3.975277591988e-02       1.519345175241e+04 
       3.994671955603e-02       1.512078824308e+04 
       4.014259823622e-02       1.504810218185e+04 
       4.034048849389e-02       1.497547318905e+04 
       4.054047102446e-02       1.490278209788e+04 
       4.074263098580e-02       1.483010842989e+04 
       4.094705832581e-02       1.475740199052e+04 
       4.115384814039e-02       1.468467944587e+04 
       4.136310106500e-02       1.461196551112e+04 
       4.157492370375e-02       1.453913699051e+04 
       4.178942910027e-02       1.446635320088e+04 
       4.200673725534e-02       1.439349459467e+04 
       4.222697569687e-02       1.432055242787e+04 
       4.245028010861e-02       1.424755089549e+04 
       4.267679502492e-02       1.417445402938e+04 
       4.290667460003e-02       1.410129372597e+04 
       4.314008346130e-02       1.402804939890e+04 
       4.337719765775e-02       1.395462661540e+04 
       4.361820571654e-02       1.388111628397e+04 
       4.386330982236e-02       1.380747791916e+04 
