# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049743788834e-05       4.730151560083e+01 
       2.344149064293e-05       1.027844290780e+02 
       3.643149987812e-05       1.573657145150e+02 
       4.950276037637e-05       2.116072795924e+02 
       6.269115629253e-05       2.658337072677e+02 
       7.603348425312e-05       3.202912193945e+02 
       8.956778688270e-05       3.751923531352e+02 
       1.033337012333e-04       4.307342968346e+02 
       1.173728266271e-04       4.871084126316e+02 
       1.317291164562e-04       5.445059497647e+02 
       1.464492984877e-04       6.031222018078e+02 
       1.615833281566e-04       6.630868263966e+02 
       1.771848791361e-04       7.247434760572e+02 
       1.933118750769e-04       7.882568697916e+02 
       2.100270657073e-04       8.538668354764e+02 
       2.273986493315e-04       9.218305386136e+02 
       2.455009419910e-04       9.924250343831e+02 
       2.644150909171e-04       1.065949741109e+03 
       2.842298261201e-04       1.142729033600e+03 
       3.050422386732e-04       1.223114381884e+03 
       3.269585670748e-04       1.307487253238e+03 
       3.500949635595e-04       1.396260627583e+03 
       3.745782000206e-04       1.489881105806e+03 
       4.005462580257e-04       1.588829729191e+03 
       4.281487293376e-04       1.693622264611e+03 
       4.575469330173e-04       1.804807974605e+03 
       4.889136341071e-04       1.922966782960e+03 
       5.224322299309e-04       2.048704149068e+03 
       5.582952576952e-04       2.182643408236e+03 
       5.967020777112e-04       2.325414763903e+03 
       6.378556080602e-04       2.477640763987e+03 
       6.819580371670e-04       2.639918333104e+03 
       7.292055268148e-04       2.812797298913e+03 
       7.797820405064e-04       2.996756217794e+03 
       8.338525821608e-04       3.192177033758e+03 
       8.915562869982e-04       3.399320079109e+03 
       9.529999372597e-04       3.618302047418e+03 
       1.018252541253e-03       3.849078831592e+03 
       1.087341581761e-03       4.091436419861e+03 
       1.160251395197e-03       4.344990074995e+03 
       1.236923901932e-03       4.609193522339e+03 
       1.317261616531e-03       4.883356792034e+03 
       1.401132587302e-03       5.166644074082e+03 
       1.488376707282e-03       5.458168625698e+03 
       1.578812740791e-03       5.756985098989e+03 
       1.672245425952e-03       6.062107902277e+03 
       1.768472120372e-03       6.372549318597e+03 
       1.867288615114e-03       6.687343577785e+03 
       1.968493910374e-03       7.005563266340e+03 
       2.071893894374e-03       7.326333741919e+03 
       2.177303977961e-03       7.648841411310e+03 
       2.284550807596e-03       7.972338371289e+03 
       2.393473213354e-03       8.296145536479e+03 
       2.503922555405e-03       8.619649614559e+03 
       2.615762621462e-03       8.942302146718e+03 
       2.728869207296e-03       9.263616862097e+03 
       2.843129488410e-03       9.583162203635e+03 
       2.958441267353e-03       9.900560914679e+03 
       3.074712159995e-03       1.021548107947e+04 
       3.191858766366e-03       1.052763487751e+04 
       3.309805857433e-03       1.083677168097e+04 
       3.428485598284e-03       1.114267676091e+04 
       3.547836820028e-03       1.144516296981e+04 
       3.667804346820e-03       1.174407375293e+04 
       3.788338380336e-03       1.203927354188e+04 
       3.909393941216e-03       1.233065001480e+04 
       4.030930365231e-03       1.261810762334e+04 
       4.152910850844e-03       1.290157066267e+04 
       4.275302054290e-03       1.318097346332e+04 
       4.398073728047e-03       1.345627008518e+04 
       4.521198398615e-03       1.372741739615e+04 
       4.644651079628e-03       1.399438965811e+04 
       4.768409016616e-03       1.425716374666e+04 
       4.892451459957e-03       1.451572023871e+04 
       5.016759462915e-03       1.477007426670e+04 
       5.141315701932e-03       1.502021940417e+04 
       5.266104316637e-03       1.526615306574e+04 
       5.391110767315e-03       1.550789840303e+04 
       5.516321707831e-03       1.574545626376e+04 
       5.641724872217e-03       1.597884857810e+04 
       5.767308973374e-03       1.620809381624e+04 
       5.893063612462e-03       1.643321505423e+04 
       6.018979197799e-03       1.665424148994e+04 
       6.145046872152e-03       1.687119813186e+04 
       6.271258447491e-03       1.708411571371e+04 
       6.397606346368e-03       1.729302461566e+04 
       6.524083549175e-03       1.749795471557e+04 
       6.650683546636e-03       1.769894306181e+04 
       6.777400296968e-03       1.789602461369e+04 
       6.904228187186e-03       1.808923074935e+04 
       7.031161998130e-03       1.827860419719e+04 
       7.158196872798e-03       1.846417729628e+04 
       7.285328287651e-03       1.864598412336e+04 
       7.412552026568e-03       1.882406544013e+04 
       7.539864157194e-03       1.899845688559e+04 
       7.667261009418e-03       1.916920290380e+04 
       7.794739155780e-03       1.933632787191e+04 
       7.922295393610e-03       1.949988763692e+04 
       8.049926728727e-03       1.965990890377e+04 
       8.177630360542e-03       1.981642815699e+04 
       8.305403668443e-03       1.996948975495e+04 
       8.433244199320e-03       2.011913318679e+04 
       8.561149656140e-03       2.026539460776e+04 
       8.689117887464e-03       2.040830884148e+04 
       8.817146877816e-03       2.054791819819e+04 
       8.945234738842e-03       2.068425601409e+04 
       9.073379701171e-03       2.081736114161e+04 
       9.201580106917e-03       2.094727260783e+04 
       9.329834402781e-03       2.107402063703e+04 
       9.458141133679e-03       2.119765101675e+04 
       9.586498936868e-03       2.131819275716e+04 
       9.714906536516e-03       2.143567352101e+04 
       9.843362738684e-03       2.155014728403e+04 
       9.971866426687e-03       2.166163446226e+04 
       1.010041655680e-02       2.177017460764e+04 
       1.022901215427e-02       2.187580235455e+04 
       1.035765230964e-02       2.197854539952e+04 
       1.048633617533e-02       2.207844373902e+04 
       1.061506296247e-02       2.217553082704e+04 
       1.074383193793e-02       2.226983869416e+04 
       1.087264242162e-02       2.236139850630e+04 
       1.100149378393e-02       2.245023765641e+04 
       1.113038544340e-02       2.253640203844e+04 
       1.125931686448e-02       2.261990668546e+04 
       1.138828755552e-02       2.270079252596e+04 
       1.151729706690e-02       2.277909846845e+04 
       1.164634498920e-02       2.285483507705e+04 
       1.177543095163e-02       2.292805273431e+04 
       1.190455462045e-02       2.299876908970e+04 
       1.203371569759e-02       2.306702477684e+04 
       1.216291391931e-02       2.313284001680e+04 
       1.229214905499e-02       2.319624937519e+04 
       1.242142090596e-02       2.325728711938e+04 
       1.255072930447e-02       2.331597937136e+04 
       1.268007411270e-02       2.337235203477e+04 
       1.280945522186e-02       2.342644438340e+04 
       1.293887255129e-02       2.347827566096e+04 
       1.306832604776e-02       2.352787783134e+04 
       1.319781568468e-02       2.357527938135e+04 
       1.332734146145e-02       2.362050671247e+04 
       1.345690340285e-02       2.366358442849e+04 
       1.358650155848e-02       2.370455118040e+04 
       1.371613600221e-02       2.374341386597e+04 
       1.384580683173e-02       2.378022111729e+04 
       1.397551416807e-02       2.381498111938e+04 
       1.410525815527e-02       2.384772616724e+04 
       1.423503895996e-02       2.387848638820e+04 
       1.436485677106e-02       2.390728597110e+04 
       1.449471179948e-02       2.393415298663e+04 
       1.462460427788e-02       2.395910370007e+04 
       1.475453446040e-02       2.398216926805e+04 
       1.488450262251e-02       2.400337343724e+04 
       1.501450906081e-02       2.402273804490e+04 
       1.514455409288e-02       2.404029802040e+04 
       1.527463805718e-02       2.405607101942e+04 
       1.540476131293e-02       2.407006948932e+04 
       1.553492424007e-02       2.408233424115e+04 
       1.566512723919e-02       2.409288686906e+04 
       1.579537073151e-02       2.410172908656e+04 
       1.592565515890e-02       2.410890682732e+04 
       1.605598098384e-02       2.411442938820e+04 
       1.618634868952e-02       2.411833091707e+04 
       1.631675877986e-02       2.412063109919e+04 
       1.644721177959e-02       2.412134942878e+04 
       1.657770823436e-02       2.412050318807e+04 
       1.670824871085e-02       2.411811313370e+04 
       1.683883379690e-02       2.411422370614e+04 
       1.696946410165e-02       2.410883895997e+04 
       1.710014025572e-02       2.410195555375e+04 
       1.723086291138e-02       2.409363033104e+04 
       1.736163274279e-02       2.408387167220e+04 
       1.749245044617e-02       2.407273269567e+04 
       1.762331674007e-02       2.406017242276e+04 
       1.775423236560e-02       2.404623940871e+04 
       1.788519808673e-02       2.403097689648e+04 
       1.801621469053e-02       2.401437122692e+04 
       1.814728298754e-02       2.399645178293e+04 
       1.827840381201e-02       2.397725424013e+04 
       1.840957802229e-02       2.395677628987e+04 
       1.854080650118e-02       2.393505414008e+04 
       1.867209015626e-02       2.391208713145e+04 
       1.880342992035e-02       2.388792774947e+04 
       1.893482675181e-02       2.386255444152e+04 
       1.906628163508e-02       2.383602506810e+04 
       1.919779558100e-02       2.380833297382e+04 
       1.932936962738e-02       2.377948475682e+04 
       1.946100483937e-02       2.374951733356e+04 
       1.959270231003e-02       2.371847689635e+04 
       1.972446316079e-02       2.368632528649e+04 
       1.985628854201e-02       2.365315118071e+04 
       1.998817963353e-02       2.361889155129e+04 
       2.012013764521e-02       2.358362031155e+04 
       2.025216381752e-02       2.354733165278e+04 
       2.038425942219e-02       2.351002998342e+04 
       2.051642576279e-02       2.347177919436e+04 
       2.064866417540e-02       2.343254974143e+04 
       2.078097602928e-02       2.339236833966e+04 
       2.091336272756e-02       2.335131148951e+04 
       2.104582570797e-02       2.330929726806e+04 
       2.117836644353e-02       2.326639153856e+04 
       2.131098644339e-02       2.322263455158e+04 
       2.144368725356e-02       2.317801884569e+04 
       2.157647045771e-02       2.313252427556e+04 
       2.170933767807e-02       2.308622829678e+04 
       2.184229057624e-02       2.303913160356e+04 
       2.197533085410e-02       2.299122301206e+04 
       2.210846025472e-02       2.294255195263e+04 
       2.224168056333e-02       2.289307297893e+04 
       2.237499360827e-02       2.284290329827e+04 
       2.250840126202e-02       2.279199159256e+04 
       2.264190544221e-02       2.274034477756e+04 
       2.277550811274e-02       2.268800518273e+04 
       2.290921128482e-02       2.263499311088e+04 
       2.304301701819e-02       2.258123944347e+04 
       2.317692742221e-02       2.252689684944e+04 
       2.331094465715e-02       2.247189513932e+04 
       2.344507093537e-02       2.241625992765e+04 
       2.357930852268e-02       2.235999849235e+04 
       2.371365973961e-02       2.230314874334e+04 
       2.384812696282e-02       2.224571939915e+04 
       2.398271262651e-02       2.218769767753e+04 
       2.411741922386e-02       2.212909378248e+04 
       2.425224930857e-02       2.206999746438e+04 
       2.438720549639e-02       2.201031784493e+04 
       2.452229046676e-02       2.195014836367e+04 
       2.465750696442e-02       2.188944304358e+04 
       2.479285780117e-02       2.182824717129e+04 
       2.492834585761e-02       2.176657582739e+04 
       2.506397408497e-02       2.170442167087e+04 
       2.519974550703e-02       2.164181719658e+04 
       2.533566322200e-02       2.157877164378e+04 
       2.547173040462e-02       2.151530324511e+04 
       2.560795030815e-02       2.145134686456e+04 
       2.574432626660e-02       2.138708666805e+04 
       2.588086169693e-02       2.132234002825e+04 
       2.601756010130e-02       2.125726217311e+04 
       2.615442506955e-02       2.119175363896e+04 
       2.629146028154e-02       2.112583232285e+04 
       2.642866950981e-02       2.105968378860e+04 
       2.656605662213e-02       2.099314895505e+04 
       2.670362558426e-02       2.092621472517e+04 
       2.684138046277e-02       2.085905161425e+04 
       2.697932542799e-02       2.079149631542e+04 
       2.711746475697e-02       2.072367567097e+04 
       2.725580283669e-02       2.065556295962e+04 
       2.739434416725e-02       2.058717961297e+04 
       2.753309336527e-02       2.051849529415e+04 
       2.767205516740e-02       2.044955959352e+04 
       2.781123443389e-02       2.038036017440e+04 
       2.795063615238e-02       2.031092965893e+04 
       2.809026544179e-02       2.024128744331e+04 
       2.823012755638e-02       2.017137966802e+04 
       2.837022788990e-02       2.010129567184e+04 
       2.851057198001e-02       2.003095571776e+04 
       2.865116551275e-02       1.996041920784e+04 
       2.879201432730e-02       1.988975282631e+04 
       2.893312442082e-02       1.981890201544e+04 
       2.907450195354e-02       1.974780786248e+04 
       2.921615325408e-02       1.967657879666e+04 
       2.935808482489e-02       1.960521733410e+04 
       2.950030334802e-02       1.953368543882e+04 
       2.964281569104e-02       1.946199772557e+04 
       2.978562891323e-02       1.939026367614e+04 
       2.992875027206e-02       1.931832262298e+04 
       3.007218722991e-02       1.924621069725e+04 
       3.021594746104e-02       1.917410056579e+04 
       3.036003885896e-02       1.910182351997e+04 
       3.050446954397e-02       1.902942758203e+04 
       3.064924787117e-02       1.895698528266e+04 
       3.079438243873e-02       1.888446178496e+04 
       3.093988209656e-02       1.881184887121e+04 
       3.108575595533e-02       1.873916114129e+04 
       3.123201339595e-02       1.866641423475e+04 
       3.137866407942e-02       1.859360596430e+04 
       3.152571795720e-02       1.852072959045e+04 
       3.167318528197e-02       1.844778709036e+04 
       3.182107661893e-02       1.837485071478e+04 
       3.196940285771e-02       1.830185853735e+04 
       3.211817522467e-02       1.822878327643e+04 
       3.226740529595e-02       1.815567995151e+04 
       3.241710501109e-02       1.808262736892e+04 
       3.256728668728e-02       1.800957854062e+04 
       3.271796303435e-02       1.793648577305e+04 
       3.286914717052e-02       1.786327930414e+04 
       3.302085263888e-02       1.779020037497e+04 
       3.317309342480e-02       1.771704718292e+04 
       3.332588397412e-02       1.764392199650e+04 
       3.347923921237e-02       1.757081261513e+04 
       3.363317456495e-02       1.749766827445e+04 
       3.378770597837e-02       1.742460141954e+04 
       3.394284994271e-02       1.735152982886e+04 
       3.409862351514e-02       1.727843772840e+04 
       3.425504434483e-02       1.720544442919e+04 
       3.441213069927e-02       1.713241289070e+04 
       3.456990149190e-02       1.705945068979e+04 
       3.472837631146e-02       1.698651521002e+04 
       3.488757545292e-02       1.691361188602e+04 
       3.504751995024e-02       1.684072331796e+04 
       3.520823161098e-02       1.676789973950e+04 
       3.536973305300e-02       1.669506831131e+04 
       3.553204774336e-02       1.662233307528e+04 
       3.569520003951e-02       1.654967399209e+04 
       3.585921523305e-02       1.647697546838e+04 
       3.602411959615e-02       1.640441343400e+04 
       3.618994043092e-02       1.633184491419e+04 
       3.635670612186e-02       1.625935998203e+04 
       3.652444619170e-02       1.618686565445e+04 
       3.669319136086e-02       1.611442529566e+04 
       3.686297361081e-02       1.604209347708e+04 
       3.703382625166e-02       1.596980044171e+04 
       3.720578399432e-02       1.589755306712e+04 
       3.737888302752e-02       1.582534066481e+04 
       3.755316110028e-02       1.575320078347e+04 
       3.772865761010e-02       1.568106420358e+04 
       3.790541369740e-02       1.560900847076e+04 
       3.808347234680e-02       1.553698672262e+04 
       3.826287849589e-02       1.546503676388e+04 
       3.844367915191e-02       1.539307580377e+04 
       3.862592351732e-02       1.532124946684e+04 
       3.880966312497e-02       1.524938160268e+04 
       3.899495198365e-02       1.517759696344e+04 
       3.918184673519e-02       1.510581252578e+04 
       3.937040682406e-02       1.503409305596e+04 
       3.956069468067e-02       1.496237011004e+04 
       3.975277591988e-02       1.489069593552e+04 
       3.994671955603e-02       1.481904510135e+04 
       4.014259823622e-02       1.474738482199e+04 
       4.034048849389e-02       1.467579257794e+04 
       4.054047102446e-02       1.460415236849e+04 
       4.074263098580e-02       1.453254157447e+04 
       4.094705832581e-02       1.446091134066e+04 
       4.115384814039e-02       1.438927787645e+04 
       4.136310106500e-02       1.431766521307e+04 
       4.157492370375e-02       1.424595352339e+04 
       4.178942910027e-02       1.417429775794e+04 
       4.200673725534e-02       1.410258165602e+04 
       4.222697569687e-02       1.403079673583e+04 
       4.245028010861e-02       1.395896653951e+04 
       4.267679502492e-02       1.388705612655e+04 
       4.290667460003e-02       1.381509652592e+04 
       4.314008346130e-02       1.374306775849e+04 
       4.337719765775e-02       1.367087811673e+04 
       4.361820571654e-02       1.359861598223e+04 
       4.386330982236e-02       1.352624207761e+04 
