# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049743788834e-05       4.730185378085e+01 
       2.344149064293e-05       1.027851568326e+02 
       3.643149987812e-05       1.573668094877e+02 
       4.950276037637e-05       2.116087146266e+02 
       6.269115629253e-05       2.658354482307e+02 
       7.603348425312e-05       3.202932238625e+02 
       8.956778688270e-05       3.751945691059e+02 
       1.033337012333e-04       4.307366612494e+02 
       1.173728266271e-04       4.871108495955e+02 
       1.317291164562e-04       5.445083683764e+02 
       1.464492984877e-04       6.031244935063e+02 
       1.615833281566e-04       6.630893649677e+02 
       1.771848791361e-04       7.247457039195e+02 
       1.933118750769e-04       7.882586155781e+02 
       2.100270657073e-04       8.538678935241e+02 
       2.273986493315e-04       9.218306618941e+02 
       2.455009419910e-04       9.924239258084e+02 
       2.644150909171e-04       1.065947042826e+03 
       2.842298261201e-04       1.142724313794e+03 
       3.050422386732e-04       1.223107118500e+03 
       3.269585670748e-04       1.307476813884e+03 
       3.500949635595e-04       1.396246244725e+03 
       3.745782000206e-04       1.489861846158e+03 
       4.005462580257e-04       1.588804456009e+03 
       4.281487293376e-04       1.693589591345e+03 
       4.575469330173e-04       1.804766208122e+03 
       4.889136341071e-04       1.922913854358e+03 
       5.224322299309e-04       2.048637529924e+03 
       5.582952576952e-04       2.182560010114e+03 
       5.967020777112e-04       2.325310819142e+03 
       6.378556080602e-04       2.477511686291e+03 
       6.819580371670e-04       2.639758557371e+03 
       7.292055268148e-04       2.812600101258e+03 
       7.797820405064e-04       2.996513518781e+03 
       8.338525821608e-04       3.191879190479e+03 
       8.915562869982e-04       3.398955674804e+03 
       9.529999372597e-04       3.617857690365e+03 
       1.018252541253e-03       3.848538977579e+03 
       1.087341581761e-03       4.090783233931e+03 
       1.160251395197e-03       4.344203348135e+03 
       1.236923901932e-03       4.608250656404e+03 
       1.317261616531e-03       4.882232862084e+03 
       1.401132587302e-03       5.165311988115e+03 
       1.488376707282e-03       5.456599323117e+03 
       1.578812740791e-03       5.755147839357e+03 
       1.672245425952e-03       6.059970615132e+03 
