# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)rho_efld           15:(.)rho_efld_t         16:(.)w_fld              17:(.)w_efld             18:(.)rho_ur             19:(.)rho_crit           20:(.)rho_tot            21:(.)p_tot              22:(.)p_tot_prime        23:gr.fac. D             24:gr.fac. f          
       1.000000000000e+14       7.559517192014e-26       4.634785000235e-09       2.157256668674e+22       1.027314575301e+04       1.027314575301e-10       1.027314575301e+18       2.676316998220e-09       2.751560535470e+44       1.127197471258e+33       1.336376166075e+34       2.131766915216e-08       5.116183148411e-09       1.621720768660e+38       1.621720768660e+38      -1.000000000000e+00       1.000000000000e-01       1.902194177205e+44       4.653756334540e+44       4.653756334540e+44       1.551251733064e+44      -1.338579118439e+53       4.719416316865e-04       2.000000000000e+00 
       9.893085837570e+13       7.723790840227e-26       4.685716703534e-09       2.111375001681e+22       1.027314575301e+04       1.038416720696e-10       1.016331127564e+18       2.705239843484e-09       2.635761930281e+44       1.091428619245e+33       1.293969540318e+34       2.131766915216e-08       5.116183148411e-09       1.565203979611e+38       1.565203979868e+38      -1.000000000000e+00       1.000000000000e-01       1.822140902098e+44       4.457904397724e+44       4.457904397724e+44       1.485967767314e+44      -1.268536397338e+53       4.820874140889e-04       1.957908948781e+00 
       9.787314738953e+13       7.891634269381e-26       4.736648406833e-09       2.066469170081e+22       1.027314575301e+04       1.049638846509e-10       1.005465108439e+18       2.734475256602e-09       2.524836674885e+44       1.056794804177e+33       1.252908585004e+34       2.131766915216e-08       5.116183148411e-09       1.510656794601e+38       1.510656794892e+38      -1.000000000000e+00       1.000000000000e-01       1.745456645219e+44       4.270294830897e+44       4.270294830897e+44       1.423431257767e+44      -1.202158743716e+53       4.922331964780e-04       1.917553037140e+00 
       9.682674483178e+13       8.063125054623e-26       4.787580110133e-09       2.022518419295e+22       1.027314575301e+04       1.060982249363e-10       9.947152624465e+17       2.764026615561e-09       2.418579675807e+44       1.023260008436e+33       1.213150598578e+34       2.131766915216e-08       5.116183148411e-09       1.458010572771e+38       1.458010573258e+38      -1.000000000000e+00       1.000000000000e-01       1.671999622440e+44       4.090580756388e+44       4.090580756388e+44       1.363526578550e+44      -1.139254378621e+53       5.023789788536e-04       1.878827139185e+00 
       9.579152979933e+13       8.238342455491e-26       4.838511813432e-09       1.979502436162e+22       1.027314575301e+04       1.072448239895e-10       9.840803475325e+17       2.793897334772e-09       2.316794470871e+44       9.907893573343e+32       1.174654234510e+34       2.131766915216e-08       5.116183148411e-09       1.407199065903e+38       1.407199066605e+38      -1.000000000000e+00       1.000000000000e-01       1.601634016574e+44       3.918429894771e+44       3.918429894771e+44       1.306142969868e+44      -1.079641558159e+53       5.125247612156e-04       1.841634453166e+00 
       9.476738268169e+13       8.417367453944e-26       4.891262506135e-09       1.937401339552e+22       1.027314575301e+04       1.084038142904e-10       9.735591349205e+17       2.824090865547e-09       2.219292865953e+44       9.593490828465e+32       1.137379458305e+34       2.131766915216e-08       5.116183148411e-09       1.358158334503e+38       1.358158335320e+38      -1.000000000000e+00       1.000000000000e-01       1.534229726263e+44       3.753523950498e+44       3.753523950498e+44       1.251174333221e+44      -1.023148048399e+53       5.226705435638e-04       1.805885693575e+00 
       9.375418514718e+13       8.600282791718e-26       4.944013198838e-09       1.896195671178e+22       1.027314575301e+04       1.095753297507e-10       9.631504089719e+17       2.854610696497e-09       2.125894587024e+44       9.289064884938e+32       1.101287505862e+34       2.131766915216e-08       5.116183148411e-09       1.310826667308e+38       1.310826668076e+38      -1.000000000000e+00       1.000000000000e-01       1.469662125423e+44       3.595558023393e+44       3.595558023393e+44       1.198519035232e+44      -9.696106277514e+52       5.328163258983e-04       1.771498375532e+00 
       9.275182012925e+13       8.787173008703e-26       4.998582880944e-09       1.855866386601e+22       1.027314575301e+04       1.107595057293e-10       9.528529670449e+17       2.885460353934e-09       2.036426946831e+44       8.994299153397e+32       1.066340843165e+34       2.131766915216e-08       5.116183148411e-09       1.265144503453e+38       1.265144504183e+38      -1.000000000000e+00       1.000000000000e-01       1.407811832824e+44       3.444240044916e+44       3.444240044916e+44       1.148079719733e+44      -9.188746153887e+52       5.429621082188e-04       1.738396179399e+00 
       9.176017181296e+13       8.978124481823e-26       5.051333573647e-09       1.816394846431e+22       1.027314575301e+04       1.119564790479e-10       9.426656193559e+17       2.916643402277e-09       1.950724525616e+44       8.708887090667e+32       1.032503127248e+34       2.131766915216e-08       5.116183148411e-09       1.221054357937e+38       1.221054358631e+38      -1.000000000000e+00       1.000000000000e-01       1.348564491358e+44       3.299290238140e+44       3.299290238140e+44       1.099763127763e+44      -8.707934243384e+52       5.531078905253e-04       1.706508385336e+00 
       9.077912562158e+13       9.173225465034e-26       5.105903255753e-09       1.777762807708e+22       1.027314575301e+04       1.131663880068e-10       9.325871888414e+17       2.948163444469e-09       1.868628865258e+44       8.432531880968e+32       9.997391684009e+33       2.131766915216e-08       5.116183148411e-09       1.178500749163e+38       1.178500749758e+38      -1.000000000000e+00       1.000000000000e-01       1.291810556602e+44       3.160440600469e+44       3.160440600469e+44       1.053479925137e+44      -8.252281379633e+52       5.632536728177e-04       1.675769368953e+00 
